Time,ObjectPositionX,ObjectPositionY,ObjectPositionZ,RayCastX,RayCastY,RayCastZ
131.2138,-23.39309,4.949809,18.02142,0,0,0
131.2221,-23.39335,4.948815,18.02257,0,0,0
131.2314,-23.39335,4.948815,18.02257,0,0,0
131.2394,-23.39335,4.948815,18.02257,0,0,0
131.2475,-23.39526,4.947371,18.02396,0,0,0
131.2571,-23.39526,4.947371,18.02396,0,0,0
131.2654,-23.39674,4.946806,18.02342,0,0,0
131.2747,-23.39674,4.946806,18.02342,0,0,0
131.2827,-23.39647,4.947019,18.02227,0,0,0
131.292,-23.39647,4.947019,18.02227,0,0,0
131.3,-23.39647,4.947019,18.02227,0,0,0
131.3081,-23.3983,4.945911,18.02327,0,0,0
131.3172,-23.3983,4.945911,18.02327,0,0,0
131.3256,-23.4014,4.945114,18.02282,0,0,0
131.335,-23.4014,4.945114,18.02282,0,0,0
131.344,-23.40247,4.944954,18.02106,0,0,0
131.3534,-23.40247,4.944954,18.02106,0,0,0
131.3616,-23.40344,4.945322,18.02158,0,0,0
131.3714,-23.40344,4.945322,18.02158,0,0,0
131.3794,-23.40344,4.945322,18.02158,0,0,0
131.3879,-23.40599,4.946202,18.02163,0,0,0
131.3972,-23.40599,4.946202,18.02163,0,0,0
131.4053,-23.40735,4.946802,18.02074,0,0,0
131.4148,-23.40735,4.946802,18.02074,0,0,0
131.4231,-23.4073,4.947042,18.02072,0,0,0
131.4322,-23.4073,4.947042,18.02072,0,0,0
131.4405,-23.40976,4.946919,18.02312,0,0,0
131.4509,-23.40976,4.946919,18.02312,0,0,0
131.46,-23.4094,4.947383,18.02159,0,0,0
131.4696,-23.4094,4.947383,18.02159,0,0,0
131.4776,-23.4094,4.947383,18.02159,0,0,0
131.4861,-23.4098,4.947199,18.02316,0,0,0
131.4963,-23.4098,4.947199,18.02316,0,0,0
131.5051,-23.40981,4.947273,18.02318,0,0,0
131.5146,-23.40981,4.947273,18.02318,0,0,0
131.5226,-23.40982,4.947282,18.0232,0,0,0
131.5319,-23.40982,4.947282,18.0232,0,0,0
131.5402,-23.41031,4.94698,18.02493,0,0,0
131.5495,-23.41031,4.94698,18.02493,0,0,0
131.5574,-23.41031,4.94698,18.02493,0,0,0
131.5655,-23.41118,4.946345,18.02729,0,0,0
131.5748,-23.41118,4.946345,18.02729,0,0,0
131.5828,-23.41219,4.945269,18.02988,0,0,0
131.5921,-23.41219,4.945269,18.02988,0,0,0
131.6001,-23.41223,4.945483,18.02898,0,0,0
131.6092,-23.41223,4.945483,18.02898,0,0,0
131.6171,-23.41223,4.945483,18.02898,0,0,0
131.6249,-23.41396,4.944736,18.02883,0,0,0
131.6342,-23.41396,4.944736,18.02883,0,0,0
131.6422,-23.41297,4.944615,18.03115,0,0,0
131.6516,-23.41297,4.944615,18.03115,0,0,0
131.6597,-23.41297,4.944615,18.03115,0,0,0
131.6681,-23.41306,4.94454,18.03128,0,0,0
131.6775,-23.41306,4.94454,18.03128,0,0,0
131.6857,-23.41459,4.943865,18.03117,0,0,0
131.6949,-23.41459,4.943865,18.03117,0,0,0
131.7026,-23.41357,4.943797,18.03337,0,0,0
131.7119,-23.41357,4.943797,18.03337,0,0,0
131.7198,-23.41357,4.943797,18.03337,0,0,0
131.728,-23.41398,4.943214,18.03499,0,0,0
131.738,-23.41398,4.943214,18.03499,0,0,0
131.7461,-23.41394,4.943322,18.0346,0,0,0
131.7567,-23.41394,4.943322,18.0346,0,0,0
131.7666,-23.41209,4.942811,18.04034,0,0,0
131.7764,-23.41209,4.942811,18.04034,0,0,0
131.785,-23.41031,4.942306,18.04615,0,0,0
131.7947,-23.41031,4.942306,18.04615,0,0,0
131.8031,-23.41002,4.941226,18.05172,0,0,0
131.8125,-23.41002,4.941226,18.05172,0,0,0
131.821,-23.40756,4.941798,18.05445,0,0,0
131.8308,-23.40756,4.941798,18.05445,0,0,0
131.8386,-23.40756,4.941798,18.05445,0,0,0
131.8466,-23.40585,4.937166,18.0614,0,0,0
131.8563,-23.40585,4.937166,18.0614,0,0,0
131.865,-23.40837,4.935582,18.06619,0,0,0
